job_category,salary_in_usd,experience_level,work_setting,company_size,Cluster
BI and Visualization,198200.0,Senior,In-person,M,0
BI and Visualization,110199.99999999999,Senior,In-person,M,0
Machine Learning and AI,166000.0,Senior,In-person,M,0
Machine Learning and AI,73100.0,Senior,In-person,M,0
Machine Learning and AI,212000.0,Senior,In-person,M,0
Machine Learning and AI,93300.0,Senior,In-person,M,0
Data Engineering,166000.0,Senior,In-person,M,0
Data Engineering,73100.0,Senior,In-person,M,0
Data Engineering,167100.0,Mid-level,In-person,M,2
Data Engineering,111400.0,Mid-level,In-person,M,2
Data Science and Research,166000.0,Entry-level,Remote,M,3
Data Science and Research,73100.0,Entry-level,Remote,M,3
Data Architecture and Modeling,170000.0,Senior,Remote,M,1
Data Architecture and Modeling,135000.0,Senior,Remote,M,1
Data Engineering,139810.0,Senior,In-person,M,0
Data Engineering,95324.99999999999,Senior,In-person,M,0
Data Science and Research,278700.0,Senior,In-person,M,0
Data Science and Research,159300.0,Senior,In-person,M,0
Machine Learning and AI,226700.0,Senior,Remote,M,1
Machine Learning and AI,151100.0,Senior,Remote,M,1
Data Engineering,247300.0,Senior,Remote,M,1
Data Engineering,139700.0,Senior,Remote,M,1
Data Science and Research,188000.0,Senior,Remote,M,1
Data Science and Research,139000.0,Senior,Remote,M,1
Data Engineering,160000.0,Senior,In-person,M,0
Data Engineering,94000.0,Senior,In-person,M,0
Leadership and Management,127000.0,Mid-level,Remote,M,4
Leadership and Management,65000.0,Mid-level,Remote,M,4
Machine Learning and AI,276000.0,Senior,In-person,M,0
Machine Learning and AI,174000.00000000003,Senior,In-person,M,0
Data Science and Research,260000.0,Senior,In-person,L,0
Data Science and Research,136000.0,Senior,In-person,L,0
Machine Learning and AI,238000.0,Senior,In-person,M,0
Data Science and Research,261500.0,Senior,In-person,L,0
Data Science and Research,134500.0,Senior,In-person,L,0
Data Architecture and Modeling,239000.0,Senior,In-person,L,0
Data Architecture and Modeling,122900.0,Senior,In-person,L,0
Data Science and Research,158500.0,Senior,Remote,M,1
Data Science and Research,115000.0,Senior,Remote,M,1
Machine Learning and AI,322612.5,Senior,In-person,M,0
Machine Learning and AI,267720.0,Senior,In-person,M,0
Data Engineering,180000.0,Senior,In-person,M,0
Data Engineering,90000.0,Senior,In-person,M,0
Data Analysis,83000.0,Mid-level,Remote,M,4
Data Analysis,66000.00000000001,Mid-level,Remote,M,4
Data Science and Research,224250.0,Senior,In-person,M,0
Data Science and Research,121550.0,Senior,In-person,M,0
Data Engineering,109000.0,Mid-level,Remote,M,4
Data Engineering,100000.00000000001,Mid-level,Remote,M,4
Data Science and Research,205400.0,Senior,In-person,M,0
Data Science and Research,92900.0,Senior,In-person,M,0
Data Science and Research,160000.0,Mid-level,Remote,M,4
Data Science and Research,110000.0,Mid-level,Remote,M,4
Data Engineering,230000.0,Senior,In-person,M,0
BI and Visualization,186030.0,Senior,Remote,M,1
BI and Visualization,110199.99999999999,Senior,Remote,M,1
Data Science and Research,130000.0,Mid-level,Remote,M,4
Data Science and Research,100000.00000000001,Mid-level,Remote,M,4
Data Science and Research,242000.0,Mid-level,In-person,M,2
Data Science and Research,106200.0,Mid-level,In-person,M,2
Data Science and Research,192000.0,Senior,Remote,M,1
Data Science and Research,178000.0,Senior,Remote,M,1
Data Engineering,209999.99999999997,Senior,Remote,M,1
Data Engineering,130000.0,Senior,Remote,M,1
Data Architecture and Modeling,206000.0,Senior,In-person,M,0
Data Architecture and Modeling,134000.0,Senior,In-person,M,0
Data Science and Research,180000.0,Senior,Remote,M,1
Data Science and Research,135000.0,Senior,Remote,M,1
Data Science and Research,200000.00000000003,Senior,In-person,M,0
Data Science and Research,120000.0,Senior,In-person,M,0
Data Engineering,106700.0,Mid-level,In-person,M,2
Data Engineering,57699.99999999999,Mid-level,In-person,M,2
Machine Learning and AI,266400.0,Senior,In-person,M,0
Machine Learning and AI,173300.0,Senior,In-person,M,0
Data Analysis,125000.0,Mid-level,In-person,M,2
Data Analysis,100000.00000000001,Mid-level,In-person,M,2
BI and Visualization,165600.0,Senior,In-person,L,0
BI and Visualization,65800.00000000001,Senior,In-person,L,0
Data Science and Research,210400.00000000003,Mid-level,In-person,M,2
Data Science and Research,170500.0,Mid-level,In-person,M,2
Data Engineering,170000.0,Mid-level,Remote,M,4
Data Engineering,160000.0,Mid-level,Remote,M,4
Data Science and Research,185400.0,Senior,Remote,M,1
Data Science and Research,81536.0,Senior,Remote,M,1
Data Analysis,193000.0,Senior,In-person,M,0
Data Analysis,157999.99999999997,Senior,In-person,M,0
Data Engineering,170000.0,Senior,Remote,M,1
Data Engineering,100000.00000000001,Senior,Remote,M,1
Data Analysis,95000.0,Mid-level,Remote,M,4
Data Analysis,75000.0,Mid-level,Remote,M,4
Data Analysis,115000.0,Mid-level,In-person,M,2
Data Analysis,104999.99999999999,Mid-level,In-person,M,2
Data Engineering,161900.0,Senior,In-person,M,0
Data Analysis,80000.0,Mid-level,Remote,M,4
Data Analysis,192500.0,Senior,Remote,M,1
Leadership and Management,100000.00000000001,Mid-level,In-person,M,2
Leadership and Management,75000.0,Mid-level,In-person,M,2
Data Engineering,91000.0,Mid-level,In-person,M,2
Machine Learning and AI,216600.0,Senior,In-person,M,0
Data Science and Research,166000.0,Senior,In-person,M,0
Data Science and Research,73100.0,Senior,In-person,M,0
Machine Learning and AI,322612.5,Senior,In-person,M,0
Machine Learning and AI,178999.99999999997,Senior,In-person,M,0
Machine Learning and AI,296400.0,Senior,In-person,M,0
Machine Learning and AI,159600.0,Senior,In-person,M,0
Leadership and Management,258500.0,Senior,Remote,M,1
Leadership and Management,226500.0,Senior,Remote,M,1
Data Science and Research,247250.0,Senior,In-person,M,0
Data Science and Research,118400.0,Senior,In-person,M,0
BI and Visualization,160000.0,Mid-level,In-person,M,2
BI and Visualization,140000.0,Mid-level,In-person,M,2
Machine Learning and AI,93400.0,Senior,In-person,M,0
Data Science and Research,172256.0,Senior,Remote,M,1
Data Science and Research,123040.0,Senior,Remote,M,1
Data Science and Research,219000.0,Senior,In-person,M,0
Data Science and Research,132000.0,Senior,In-person,M,0
Data Science and Research,130500.0,Senior,In-person,M,0
Data Science and Research,322612.5,Senior,In-person,M,0
Data Science and Research,184700.0,Senior,In-person,M,0
Machine Learning and AI,250000.0,Senior,In-person,M,0
Data Science and Research,136000.0,Mid-level,In-person,M,2
Data Science and Research,91000.0,Mid-level,In-person,M,2
Data Analysis,143000.0,Senior,Remote,M,1
Data Analysis,78000.0,Senior,Remote,M,1
Data Engineering,142000.0,Mid-level,In-person,M,2
Data Engineering,102200.0,Mid-level,In-person,M,2
Data Science and Research,137500.0,Senior,In-person,M,0
Data Science and Research,81500.0,Senior,In-person,M,0
BI and Visualization,202000.0,Senior,Remote,M,1
BI and Visualization,147000.0,Senior,Remote,M,1
Data Science and Research,140000.0,Senior,In-person,M,0
Data Science and Research,125000.0,Senior,In-person,M,0
Data Science and Research,170625.0,Senior,In-person,M,0
Data Science and Research,127950.0,Senior,In-person,M,0
Data Science and Research,123040.0,Mid-level,In-person,M,2
Data Science and Research,86128.0,Mid-level,In-person,M,2
Data Science and Research,100000.00000000001,Mid-level,In-person,S,2
Data Management and Strategy,60000.0,Entry-level,Remote,M,3
Data Management and Strategy,52000.0,Entry-level,Remote,M,3
Machine Learning and AI,300000.0,Senior,In-person,M,0
Machine Learning and AI,260000.0,Senior,In-person,M,0
Data Science and Research,225000.0,Senior,In-person,M,0
Data Science and Research,170000.0,Senior,In-person,M,0
BI and Visualization,100000.00000000001,Senior,Remote,M,1
BI and Visualization,80000.0,Senior,Remote,M,1
Data Science and Research,297300.0,Senior,Remote,M,1
Data Science and Research,198200.0,Senior,Remote,M,1
Machine Learning and AI,240000.0,Senior,Remote,M,1
